date,red_particulate_matter_660nm
2025-03-25,0.79
2025-03-26,1.06
2025-03-27,0.59
2025-03-28,0.443
2025-03-29,0.44
2025-03-30,0.443
2025-03-31,1.235
2025-04-01,0.46
2025-04-02,0.59
2025-04-03,1.115
2025-04-04,0.76
2025-04-05,0.4
2025-04-06,0.417
2025-04-07,0.647
2025-04-08,1.0
2025-04-09,0.93
2025-04-10,1.96
2025-04-11,0.873
2025-04-12,1.617
2025-04-13,0.643
2025-04-14,0.78
2025-04-15,0.82
2025-04-16,0.465
2025-04-17,0.97
2025-04-18,0.75
2025-04-19,1.26
2025-04-20,0.65
2025-04-21,1.27
2025-04-22,1.43
2025-04-23,0.42
2025-04-24,0.964
2025-04-25,0.803
2025-04-26,1.175
2025-04-27,0.78
2025-04-28,2.56
2025-04-29,1.89
2025-04-30,1.905
2025-05-01,2.41
2025-05-02,0.98
2025-05-03,0.48
2025-05-04,0.23
2025-05-05,0.317
2025-05-06,0.597
2025-05-07,0.81
2025-05-08,0.315
2025-05-09,0.75
2025-05-10,0.983
2025-05-11,0.753
2025-05-12,1.157
2025-05-13,0.577
2025-05-14,0.58
2025-05-15,0.45
2025-05-16,0.75
2025-05-18,0.703
2025-05-19,0.61
2025-05-20,0.62
2025-05-21,0.53
2025-05-22,0.51
2025-05-23,0.61
2025-05-24,0.587
2025-05-25,0.227
2025-05-26,0.297
2025-05-27,0.17
2025-05-28,0.265
2025-05-29,0.377
2025-05-30,0.557
2025-05-31,0.567
2025-06-01,0.32
2025-06-02,0.5
2025-06-03,0.35
2025-06-04,0.417
2025-06-05,0.603
2025-06-06,0.155
2025-06-07,0.23
2025-06-08,0.285
