date,Ozone
31-03-2025,49.182
01-04-2025,63.545
02-04-2025,65.091
03-04-2025,65.364
04-04-2025,69.727
05-04-2025,78.909
06-04-2025,74
07-04-2025,65.091
08-04-2025,58
09-04-2025,59
10-04-2025,55.909
11-04-2025,59.727
12-04-2025,72.091
13-04-2025,75.818
14-04-2025,69.455
15-04-2025,58.091
16-04-2025,76.818
17-04-2025,60.909
18-04-2025,67.182
19-04-2025,69.364
20-04-2025,77.091
21-04-2025,51.636
22-04-2025,63.273
23-04-2025,66.909
24-04-2025,65.818
25-04-2025,59.818
26-04-2025,64.545
27-04-2025,59.455
28-04-2025,56.182
29-04-2025,80.727
30-04-2025,80.727
01-05-2025,96.364
02-05-2025,70
03-05-2025,69.091
04-05-2025,72.545
05-05-2025,59.364
06-05-2025,62.091
07-05-2025,57.364
08-05-2025,75.182
09-05-2025,77
10-05-2025,84.727
11-05-2025,93.364
12-05-2025,78.364
13-05-2025,88.455
14-05-2025,82.182
15-05-2025,77.727
16-05-2025,87
17-05-2025,82.455
18-05-2025,79
19-05-2025,81.727
20-05-2025,76.727
21-05-2025,75.909
22-05-2025,55.273
23-05-2025,67.818
24-05-2025,45.909
25-05-2025,71.545
26-05-2025,70.636
27-05-2025,55
28-05-2025,64
29-05-2025,40.182
30-05-2025,43.091
31-05-2025,54.364
01-06-2025,69.545
02-06-2025,66.727
03-06-2025,68.364
04-06-2025,70.455
05-06-2025,58.182
06-06-2025,56.818
07-06-2025,56.636
08-06-2025,62
