Date,mean_temp
09-06-2024,10.3
10-06-2024,11.7
11-06-2024,10.5
12-06-2024,10.9
13-06-2024,10
14-06-2024,14.1
15-06-2024,12.5
16-06-2024,13.6
17-06-2024,14
18-06-2024,13.7
19-06-2024,14.7
20-06-2024,14.6
21-06-2024,15.5
22-06-2024,16.6
23-06-2024,16.7
24-06-2024,18.8
25-06-2024,19.8
26-06-2024,20.7
27-06-2024,17.5
28-06-2024,14.7
29-06-2024,14.8
30-06-2024,13.7
01-07-2024,13.4
02-07-2024,14.6
03-07-2024,14.2
04-07-2024,13.7
05-07-2024,15.1
06-07-2024,12.5
07-07-2024,13.4
08-07-2024,13.4
09-07-2024,16.1
10-07-2024,16.5
11-07-2024,15.7
12-07-2024,14.1
13-07-2024,14.4
14-07-2024,15.1
15-07-2024,14.6
16-07-2024,16.9
17-07-2024,16.9
18-07-2024,18.7
19-07-2024,21.4
20-07-2024,19.1
21-07-2024,16.9
22-07-2024,17.1
23-07-2024,18.6
24-07-2024,17.2
25-07-2024,17.7
26-07-2024,16.7
27-07-2024,15.6
28-07-2024,16.8
29-07-2024,18.6
30-07-2024,19.5
31-07-2024,20.5
01-08-2024,20.8
02-08-2024,19.4
03-08-2024,18.3
04-08-2024,16.1
05-08-2024,18.9
06-08-2024,18.2
07-08-2024,15.5
08-08-2024,16.1
09-08-2024,19.1
10-08-2024,18.5
11-08-2024,19.4
12-08-2024,22.1
13-08-2024,17.1
14-08-2024,16.5
15-08-2024,16.9
16-08-2024,15.5
17-08-2024,14.9
18-08-2024,16.6
19-08-2024,14
20-08-2024,17.3
21-08-2024,14.7
22-08-2024,17
23-08-2024,16.8
24-08-2024,15.1
25-08-2024,13.2
26-08-2024,16.5
27-08-2024,17.6
28-08-2024,18.7
29-08-2024,15.4
30-08-2024,15
31-08-2024,14.7
01-09-2024,19.2
02-09-2024,18.6
03-09-2024,16.1
04-09-2024,13.7
05-09-2024,14.7
06-09-2024,19.7
07-09-2024,17.6
08-09-2024,16.6
09-09-2024,14.5
10-09-2024,13.3
11-09-2024,10.8
12-09-2024,9.4
13-09-2024,9.3
14-09-2024,12.6
15-09-2024,13.3
16-09-2024,13.8
17-09-2024,13.5
18-09-2024,15.6
19-09-2024,16.6
20-09-2024,16.7
21-09-2024,17.5
22-09-2024,15.5
23-09-2024,14.1
24-09-2024,13.7
25-09-2024,11.3
26-09-2024,13.2
27-09-2024,10.4
28-09-2024,8.9
29-09-2024,9.2
30-09-2024,11.6
01-10-2024,11.9
02-10-2024,13.1
03-10-2024,10.6
04-10-2024,10.5
05-10-2024,11.2
06-10-2024,12.3
07-10-2024,13.9
08-10-2024,13.6
09-10-2024,12.8
10-10-2024,8.7
11-10-2024,6.2
12-10-2024,8.7
13-10-2024,6.7
14-10-2024,8.7
15-10-2024,11.4
16-10-2024,14.6
17-10-2024,14.2
18-10-2024,11.3
19-10-2024,13.2
20-10-2024,12.7
21-10-2024,12.2
22-10-2024,11.7
23-10-2024,11.9
