Daily Mean data	    supplied by UK-air on 14/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Birmingham A4540 Roadside",,"Birmingham Ladywood",,"Shrewsbury Underdale",
Latitude,52.476145,,52.481346,,52.715083,,
Longitude,-1.874978,,-1.918235,,-2.726833,,
Site Type,Urban Traffic,,Urban Background,,Urban Background,,
Zone,West Midlands,,West Midlands,,West Midlands,,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,,
Local Authority,"Birmingham",,"Birmingham",,"Shropshire",,
Date,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status,"Blue Particulate matter (470nm)",Status
2025-04-24,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-25,1.45,N ugm-3,0.63,N ugm-3,0.62,N ugm-3
2025-04-26,1.71,N ugm-3,0.92,N ugm-3,No data,N ugm-3
2025-04-27,1.4,N ugm-3,0.46,N ugm-3,No data,N ugm-3
2025-04-28,2.88,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-29,2.11,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-30,3.14,N ugm-3,No data,N ugm-3,1.15,N ugm-3
2025-05-01,2.71,N ugm-3,No data,N ugm-3,0.84,N ugm-3
2025-05-02,1.12,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-05-03,0.88,N ugm-3,0.41,N ugm-3,No data,N ugm-3
2025-05-04,0.3,N ugm-3,No data,N ugm-3,0.29,N ugm-3
2025-05-05,0.41,N ugm-3,0.22,N ugm-3,0.53,N ugm-3
2025-05-06,0.91,N ugm-3,0.5,N ugm-3,0.56,N ugm-3
2025-05-07,1.47,N ugm-3,0.82,N ugm-3,0.5,N ugm-3
2025-05-08,No data,N ugm-3,0.36,N ugm-3,0.36,N ugm-3
2025-05-09,No data,N ugm-3,0.6,N ugm-3,1.1,N ugm-3
2025-05-10,1.37,N ugm-3,0.91,N ugm-3,1.06,N ugm-3
2025-05-11,1.53,N ugm-3,0.67,N ugm-3,0.62,N ugm-3
2025-05-12,1.75,N ugm-3,1.16,N ugm-3,1,N ugm-3
2025-05-13,0.88,N ugm-3,0.58,N ugm-3,0.5,N ugm-3
2025-05-14,0.84,N ugm-3,0.58,N ugm-3,0.52,N ugm-3
2025-05-15,0.9,N ugm-3,0.4,N ugm-3,0.46,N ugm-3
2025-05-16,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-05-18,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-05-19,0.85,N ugm-3,0.49,N ugm-3,No data,N ugm-3
2025-05-20,No data,N ugm-3,0.68,N ugm-3,No data,N ugm-3
2025-05-21,No data,N ugm-3,0.74,N ugm-3,0.47,N ugm-3
2025-05-22,No data,N ugm-3,0.57,N ugm-3,No data,N ugm-3
2025-05-23,1.26,N ugm-3,0.41,N ugm-3,No data,N ugm-3
2025-05-24,1.32,N ugm-3,0.34,N ugm-3,No data,N ugm-3
2025-05-25,0.54,N ugm-3,No data,N ugm-3,0.12,N ugm-3
2025-05-26,0.71,N ugm-3,0.11,N ugm-3,0.14,N ugm-3
2025-05-27,No data,N ugm-3,0.21,N ugm-3,No data,N ugm-3
2025-05-28,No data,N ugm-3,0.37,N ugm-3,No data,N ugm-3
2025-05-29,0.9,N ugm-3,0.2,N ugm-3,No data,N ugm-3
2025-05-30,1.25,N ugm-3,0.25,N ugm-3,No data,N ugm-3
2025-05-31,1.27,N ugm-3,0.3,N ugm-3,No data,N ugm-3
2025-06-01,0.72,N ugm-3,0.21,N ugm-3,0.16,N ugm-3
2025-06-02,1.29,N ugm-3,0.17,N ugm-3,0.16,N ugm-3
2025-06-03,0.87,N ugm-3,0.18,N ugm-3,0.12,N ugm-3
2025-06-04,1.03,N ugm-3,0.19,N ugm-3,0.15,N ugm-3
2025-06-05,1.56,N ugm-3,0.26,N ugm-3,No data,N ugm-3
2025-06-06,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-06-07,No data,N ugm-3,0.3,N ugm-3,No data,N ugm-3
2025-06-08,No data,N ugm-3,0.37,N ugm-3,0.34,N ugm-3



End
