Daily Mean data	    supplied by UK-air on 14/06/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Birmingham A4540 Roadside",,"Birmingham Ladywood",,"Shrewsbury Underdale",
Latitude,52.476145,,52.481346,,52.715083,,
Longitude,-1.874978,,-1.918235,,-2.726833,,
Site Type,Urban Traffic,,Urban Background,,Urban Background,,
Zone,West Midlands,,West Midlands,,West Midlands,,
Agglomeration,West Midlands Urban Area,,West Midlands Urban Area,,#N/A,,
Local Authority,"Birmingham",,"Birmingham",,"Shropshire",,
Date,"Black Carbon (880nm)",Status,"Black Carbon (880nm)",Status,"Black Carbon (880nm)",Status
2024-09-05,0.9,V ugm-3,0.67,V ugm-3,0.51,V ugm-3
2024-09-06,1.47,V ugm-3,1.28,V ugm-3,1.01,V ugm-3
2024-09-07,1.62,V ugm-3,1.36,V ugm-3,1.13,V ugm-3
2024-09-08,1.33,V ugm-3,0.68,V ugm-3,0.36,V ugm-3
2024-09-09,0.86,V ugm-3,0.37,V ugm-3,0.2,V ugm-3
2024-09-10,1.15,V ugm-3,0.43,V ugm-3,0.29,V ugm-3
2024-09-11,0.95,V ugm-3,0.3,V ugm-3,0.48,V ugm-3
2024-09-12,1.27,V ugm-3,0.63,V ugm-3,0.39,V ugm-3
2024-09-13,2.45,V ugm-3,0.95,V ugm-3,0.63,V ugm-3
2024-09-14,1.83,V ugm-3,0.55,V ugm-3,0.21,V ugm-3
2024-09-15,1.51,V ugm-3,0.44,V ugm-3,0.3,V ugm-3
2024-09-16,1.48,V ugm-3,1.05,V ugm-3,1.29,V ugm-3
2024-09-17,1.97,V ugm-3,1.03,V ugm-3,0.96,V ugm-3
2024-09-18,0.72,V ugm-3,0.56,V ugm-3,0.49,V ugm-3
2024-09-19,0.86,V ugm-3,0.88,V ugm-3,0.83,V ugm-3
2024-09-20,1.36,V ugm-3,1.23,V ugm-3,1.08,V ugm-3
2024-09-21,1.55,V ugm-3,1.18,V ugm-3,0.9,V ugm-3
2024-09-22,1.02,V ugm-3,0.97,V ugm-3,0.93,V ugm-3
2024-09-23,1.59,V ugm-3,1.05,V ugm-3,0.87,V ugm-3
2024-09-24,1.31,V ugm-3,0.69,V ugm-3,0.42,V ugm-3
2024-09-25,1.77,V ugm-3,0.54,V ugm-3,0.5,V ugm-3
2024-09-26,No data,V ugm-3,0.45,V ugm-3,0.4,V ugm-3
2024-09-27,1,V ugm-3,0.35,V ugm-3,0.25,V ugm-3
2024-09-28,1.86,V ugm-3,0.61,V ugm-3,0.49,V ugm-3
2024-09-29,1.1,V ugm-3,0.52,V ugm-3,0.39,V ugm-3
2024-09-30,1.17,V ugm-3,0.42,V ugm-3,0.44,V ugm-3
2024-10-01,1.08,V ugm-3,0.56,V ugm-3,0.47,V ugm-3
2024-10-02,0.73,V ugm-3,0.46,V ugm-3,0.47,V ugm-3
2024-10-03,1.71,V ugm-3,1.22,V ugm-3,1.47,V ugm-3
2024-10-04,2.74,V ugm-3,0.82,V ugm-3,1.16,V ugm-3
2024-10-05,1.48,V ugm-3,0.68,V ugm-3,0.57,V ugm-3
2024-10-06,1.05,V ugm-3,0.65,V ugm-3,0.63,V ugm-3
2024-10-07,1.37,V ugm-3,0.45,V ugm-3,0.27,V ugm-3
2024-10-08,1.18,V ugm-3,No data,V ugm-3,0.41,V ugm-3
2024-10-09,No data,V ugm-3,No data,V ugm-3,0.58,V ugm-3
2024-10-10,1.14,V ugm-3,0.6,V ugm-3,0.69,V ugm-3
2024-10-11,3.67,V ugm-3,0.98,V ugm-3,0.69,V ugm-3
2024-10-12,1.76,V ugm-3,0.5,V ugm-3,0.7,V ugm-3
2024-10-13,1.17,V ugm-3,0.48,V ugm-3,0.43,V ugm-3
2024-10-14,1.18,V ugm-3,0.92,V ugm-3,0.75,V ugm-3
2024-10-15,1.25,V ugm-3,1.01,V ugm-3,0.73,V ugm-3
2024-10-16,1.74,V ugm-3,1.05,V ugm-3,0.93,V ugm-3
2024-10-17,2.67,V ugm-3,0.52,V ugm-3,0.43,V ugm-3
2024-10-18,1.73,V ugm-3,0.37,V ugm-3,0.41,V ugm-3
2024-10-19,2.18,V ugm-3,0.75,V ugm-3,0.46,V ugm-3
2024-10-20,0.78,V ugm-3,0.19,V ugm-3,0.19,V ugm-3
2024-10-21,2.12,V ugm-3,0.44,V ugm-3,0.28,V ugm-3
2024-10-22,2.41,V ugm-3,0.73,V ugm-3,0.99,V ugm-3
2024-10-23,2.02,V ugm-3,0.53,V ugm-3,0.47,V ugm-3
2024-10-24,1.23,V ugm-3,0.68,V ugm-3,0.54,V ugm-3
2024-10-25,2.75,V ugm-3,1.28,V ugm-3,1.05,V ugm-3
2024-10-26,3.38,V ugm-3,1.18,V ugm-3,0.8,V ugm-3
2024-10-27,1.23,V ugm-3,No data,V ugm-3,0.27,V ugm-3
2024-10-28,No data,V ugm-3,No data,V ugm-3,0.31,V ugm-3
2024-10-29,No data,V ugm-3,0.89,V ugm-3,0.53,V ugm-3
2024-10-30,No data,V ugm-3,0.73,V ugm-3,0.34,V ugm-3
2024-10-31,3.11,V ugm-3,0.99,V ugm-3,1.25,V ugm-3
2024-11-01,1.7,V ugm-3,0.98,V ugm-3,1.06,V ugm-3
2024-11-02,1.73,V ugm-3,1.45,V ugm-3,1.18,V ugm-3
2024-11-03,0.96,V ugm-3,0.68,V ugm-3,0.86,V ugm-3
2024-11-04,1.55,V ugm-3,1,V ugm-3,1.23,V ugm-3
2024-11-05,2.19,V ugm-3,1.13,V ugm-3,1.33,V ugm-3
2024-11-06,2.16,V ugm-3,1.64,V ugm-3,1.15,V ugm-3
2024-11-07,1.35,V ugm-3,0.92,V ugm-3,0.6,V ugm-3
2024-11-08,2.2,V ugm-3,1.95,V ugm-3,1.99,V ugm-3
2024-11-09,2.28,V ugm-3,1.3,V ugm-3,2.17,V ugm-3
2024-11-10,2.3,V ugm-3,1.03,V ugm-3,0.95,V ugm-3
2024-11-11,2,V ugm-3,1.17,V ugm-3,1.6,V ugm-3
2024-11-12,1.35,V ugm-3,1.08,V ugm-3,1.36,V ugm-3
2024-11-13,2.11,V ugm-3,1.64,V ugm-3,1.42,V ugm-3
2024-11-14,3.51,V ugm-3,1.32,V ugm-3,2.6,V ugm-3
2024-11-15,3.42,V ugm-3,1.03,V ugm-3,1.64,V ugm-3
2024-11-16,1.46,V ugm-3,0.48,V ugm-3,0.55,V ugm-3
2024-11-17,1.13,V ugm-3,0.38,V ugm-3,0.66,V ugm-3
2024-11-18,1.36,V ugm-3,0.95,V ugm-3,0.77,V ugm-3
2024-11-19,1.59,V ugm-3,0.9,V ugm-3,0.88,V ugm-3
2024-11-20,1.75,V ugm-3,0.88,V ugm-3,0.57,V ugm-3
2024-11-21,4.57,V ugm-3,1.73,V ugm-3,1.27,V ugm-3
2024-11-22,1.76,V ugm-3,0.55,V ugm-3,0.9,V ugm-3
2024-11-23,0.98,V ugm-3,0.31,V ugm-3,0.22,V ugm-3
2024-11-24,0.8,V ugm-3,0.19,V ugm-3,0.1,V ugm-3
2024-11-25,0.96,V ugm-3,0.23,V ugm-3,0.19,V ugm-3
2024-11-26,3.6,V ugm-3,1.09,V ugm-3,1.51,V ugm-3
2024-11-27,1.93,V ugm-3,1.68,V ugm-3,2.3,V ugm-3
2024-11-28,No data,V ugm-3,2.31,V ugm-3,1.78,V ugm-3
2024-11-29,No data,V ugm-3,0.67,V ugm-3,0.53,V ugm-3
2024-11-30,2.09,V ugm-3,0.57,V ugm-3,0.42,V ugm-3
2024-12-01,1.28,V ugm-3,0.33,V ugm-3,0.27,V ugm-3
2024-12-02,1.13,V ugm-3,0.44,V ugm-3,0.32,V ugm-3
2024-12-03,No data,V ugm-3,1.34,V ugm-3,0.98,V ugm-3
2024-12-04,No data,V ugm-3,0.71,V ugm-3,0.59,V ugm-3
2024-12-05,1,V ugm-3,0.2,V ugm-3,0.18,V ugm-3
2024-12-06,1.23,V ugm-3,0.33,V ugm-3,0.27,V ugm-3
2024-12-07,0.39,V ugm-3,0.1,V ugm-3,0.05,V ugm-3
2024-12-08,0.31,V ugm-3,0.15,V ugm-3,0.19,V ugm-3
2024-12-09,0.53,V ugm-3,0.28,V ugm-3,0.35,V ugm-3
2024-12-10,0.45,V ugm-3,0.28,V ugm-3,0.35,V ugm-3
2024-12-11,0.57,V ugm-3,0.3,V ugm-3,0.35,V ugm-3
2024-12-12,1.03,V ugm-3,0.68,V ugm-3,0.83,V ugm-3
2024-12-13,1.26,V ugm-3,0.89,V ugm-3,0.93,V ugm-3
2024-12-14,1.28,V ugm-3,0.53,V ugm-3,0.56,V ugm-3
2024-12-15,0.59,V ugm-3,0.16,V ugm-3,0.16,V ugm-3
2024-12-16,1.26,V ugm-3,0.28,V ugm-3,0.36,V ugm-3
2024-12-17,1.44,V ugm-3,0.37,V ugm-3,0.36,V ugm-3
2024-12-18,1.03,V ugm-3,0.28,V ugm-3,0.33,V ugm-3
2024-12-19,1.02,V ugm-3,0.53,V ugm-3,0.34,V ugm-3
2024-12-20,1.72,V ugm-3,0.45,V ugm-3,0.53,V ugm-3
2024-12-21,0.64,V ugm-3,0.18,V ugm-3,0.25,V ugm-3
2024-12-22,0.46,V ugm-3,0.14,V ugm-3,0.11,V ugm-3
2024-12-23,1.38,V ugm-3,0.46,V ugm-3,0.9,V ugm-3
2024-12-24,2.7,V ugm-3,No data,V ugm-3,0.29,V ugm-3
2024-12-25,1.25,V ugm-3,No data,V ugm-3,0.53,V ugm-3
2024-12-26,1.27,V ugm-3,No data,V ugm-3,0.36,V ugm-3
2024-12-27,1.64,V ugm-3,No data,V ugm-3,0.6,V ugm-3
2024-12-28,1.52,V ugm-3,0.6,V ugm-3,0.62,V ugm-3
2024-12-29,0.85,V ugm-3,0.24,V ugm-3,0.25,V ugm-3
2024-12-30,0.9,V ugm-3,0.2,V ugm-3,0.14,V ugm-3
2024-12-31,0.6,V ugm-3,0.15,V ugm-3,0.1,V ugm-3
2025-01-01,0.58,N ugm-3,0.25,N ugm-3,0.34,N ugm-3
2025-01-02,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-03,1.52,N ugm-3,0.54,N ugm-3,0.8,N ugm-3
2025-01-04,2.35,N ugm-3,0.84,N ugm-3,1.32,N ugm-3
2025-01-05,1.29,N ugm-3,0.45,N ugm-3,No data,N ugm-3
2025-01-06,0.88,N ugm-3,0.38,N ugm-3,No data,N ugm-3
2025-01-07,1.4,N ugm-3,0.4,N ugm-3,0.5,N ugm-3
2025-01-08,4.28,N ugm-3,2.5,N ugm-3,No data,N ugm-3
2025-01-09,2.34,N ugm-3,No data,N ugm-3,1.43,N ugm-3
2025-01-10,5.48,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-11,No data,N ugm-3,5,N ugm-3,No data,N ugm-3
2025-01-12,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-13,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-01-14,No data,N ugm-3,0.7,N ugm-3,0.48,N ugm-3
2025-01-15,No data,N ugm-3,1.19,N ugm-3,1.65,N ugm-3
2025-01-16,2.64,N ugm-3,1.17,N ugm-3,1.64,N ugm-3
2025-01-17,1.95,N ugm-3,0.63,N ugm-3,1.07,N ugm-3
2025-01-18,1.45,N ugm-3,0.78,N ugm-3,0.75,N ugm-3
2025-01-19,2.05,N ugm-3,0.87,N ugm-3,1.08,N ugm-3
2025-01-20,2.88,N ugm-3,1.25,N ugm-3,1.73,N ugm-3
2025-01-21,2.76,N ugm-3,0.85,N ugm-3,0.89,N ugm-3
2025-01-22,4.46,N ugm-3,2.44,N ugm-3,1.46,N ugm-3
2025-01-23,1.65,N ugm-3,No data,N ugm-3,0.33,N ugm-3
2025-01-24,0.75,N ugm-3,No data,N ugm-3,1.15,N ugm-3
2025-01-25,1.81,N ugm-3,0.49,N ugm-3,0.47,N ugm-3
2025-01-26,0.8,N ugm-3,0.3,N ugm-3,0.32,N ugm-3
2025-01-27,1.09,N ugm-3,0.18,N ugm-3,0.14,N ugm-3
2025-01-28,1.4,N ugm-3,0.6,N ugm-3,No data,N ugm-3
2025-01-29,1.9,N ugm-3,0.66,N ugm-3,0.79,N ugm-3
2025-01-30,2.15,N ugm-3,0.85,N ugm-3,0.83,N ugm-3
2025-01-31,0.26,N ugm-3,0.77,N ugm-3,0.72,N ugm-3
2025-02-01,0,N ugm-3,0.63,N ugm-3,0,N ugm-3
2025-02-02,0,N ugm-3,0.45,N ugm-3,0,N ugm-3
2025-02-03,1.54,N ugm-3,0.59,N ugm-3,0,N ugm-3
2025-02-04,1.04,N ugm-3,0.2,N ugm-3,0,N ugm-3
2025-02-05,No data,N ugm-3,No data,N ugm-3,2.1,N ugm-3
2025-02-06,No data,N ugm-3,No data,N ugm-3,1.84,N ugm-3
2025-02-07,No data,N ugm-3,0.4,N ugm-3,0.47,N ugm-3
2025-02-08,1.32,N ugm-3,0.98,N ugm-3,1.05,N ugm-3
2025-02-09,No data,N ugm-3,1.44,N ugm-3,1.48,N ugm-3
2025-02-10,No data,N ugm-3,0.97,N ugm-3,0.82,N ugm-3
2025-02-11,No data,N ugm-3,1.18,N ugm-3,1.23,N ugm-3
2025-02-12,2.02,N ugm-3,1.67,N ugm-3,1.43,N ugm-3
2025-02-13,1.11,N ugm-3,1.03,N ugm-3,No data,N ugm-3
2025-02-14,1.18,N ugm-3,0.96,N ugm-3,No data,N ugm-3
2025-02-15,1.69,N ugm-3,1.43,N ugm-3,1.5,N ugm-3
2025-02-16,No data,N ugm-3,No data,N ugm-3,1.12,N ugm-3
2025-02-17,0.69,N ugm-3,0.91,N ugm-3,No data,N ugm-3
2025-02-18,No data,N ugm-3,1.06,N ugm-3,No data,N ugm-3
2025-02-19,2.25,N ugm-3,No data,N ugm-3,1.53,N ugm-3
2025-02-20,1.1,N ugm-3,No data,N ugm-3,0.16,N ugm-3
2025-02-21,1.13,N ugm-3,0.24,N ugm-3,0.22,N ugm-3
2025-02-22,1.99,N ugm-3,0.35,N ugm-3,0.41,N ugm-3
2025-02-23,0.73,N ugm-3,No data,N ugm-3,0.13,N ugm-3
2025-02-24,1.2,N ugm-3,No data,N ugm-3,0.2,N ugm-3
2025-02-25,1.29,N ugm-3,0.34,N ugm-3,0.31,N ugm-3
2025-02-26,1.22,N ugm-3,0.28,N ugm-3,0.29,N ugm-3
2025-02-27,1.2,N ugm-3,0.47,N ugm-3,No data,N ugm-3
2025-02-28,3.37,N ugm-3,0.95,N ugm-3,No data,N ugm-3
2025-03-01,4.63,N ugm-3,2.18,N ugm-3,2.73,N ugm-3
2025-03-02,4.29,N ugm-3,1.8,N ugm-3,No data,N ugm-3
2025-03-03,2.84,N ugm-3,1.36,N ugm-3,0.84,N ugm-3
2025-03-04,2.67,N ugm-3,1.29,N ugm-3,0.86,N ugm-3
2025-03-05,2.21,N ugm-3,No data,N ugm-3,0.7,N ugm-3
2025-03-06,2.89,N ugm-3,No data,N ugm-3,0.97,N ugm-3
2025-03-07,1.77,N ugm-3,0.72,N ugm-3,0.6,N ugm-3
2025-03-08,2.04,N ugm-3,1.3,N ugm-3,No data,N ugm-3
2025-03-09,2.19,N ugm-3,1.48,N ugm-3,No data,N ugm-3
2025-03-10,2.16,N ugm-3,1.85,N ugm-3,2.23,N ugm-3
2025-03-11,0.89,N ugm-3,0.41,N ugm-3,0.38,N ugm-3
2025-03-12,1.26,N ugm-3,0.57,N ugm-3,0.52,N ugm-3
2025-03-13,No data,N ugm-3,0.7,N ugm-3,0.39,N ugm-3
2025-03-14,No data,N ugm-3,0.76,N ugm-3,0.57,N ugm-3
2025-03-15,0.75,N ugm-3,0,N ugm-3,0.63,N ugm-3
2025-03-16,0.95,N ugm-3,0,N ugm-3,0.63,N ugm-3
2025-03-17,0.85,N ugm-3,0.25,N ugm-3,0.31,N ugm-3
2025-03-18,0.76,N ugm-3,0.54,N ugm-3,0.55,N ugm-3
2025-03-19,4.25,N ugm-3,2.71,N ugm-3,1.54,N ugm-3
2025-03-20,4.73,N ugm-3,3.07,N ugm-3,No data,N ugm-3
2025-03-21,1.45,N ugm-3,1.28,N ugm-3,No data,N ugm-3
2025-03-22,No data,N ugm-3,0.73,N ugm-3,0.72,N ugm-3
2025-03-23,No data,N ugm-3,1.04,N ugm-3,1.01,N ugm-3
2025-03-24,No data,N ugm-3,1.75,N ugm-3,1.48,N ugm-3
2025-03-25,0.77,N ugm-3,0.99,N ugm-3,0.55,N ugm-3
2025-03-26,1.94,N ugm-3,0.77,N ugm-3,0.42,N ugm-3
2025-03-27,1.28,N ugm-3,0.36,N ugm-3,0.12,N ugm-3
2025-03-28,0.85,N ugm-3,0.3,N ugm-3,0.18,N ugm-3
2025-03-29,0.88,N ugm-3,0.27,N ugm-3,0.16,N ugm-3
2025-03-30,0.74,N ugm-3,0.3,N ugm-3,0.31,N ugm-3
2025-03-31,No data,N ugm-3,1.05,N ugm-3,1.42,N ugm-3
2025-04-01,No data,N ugm-3,0.45,N ugm-3,No data,N ugm-3
2025-04-02,0.69,N ugm-3,0.48,N ugm-3,No data,N ugm-3
2025-04-03,1.17,N ugm-3,1,N ugm-3,No data,N ugm-3
2025-04-04,0.82,N ugm-3,0.75,N ugm-3,0.61,N ugm-3
2025-04-05,0.61,N ugm-3,0.31,N ugm-3,0.26,N ugm-3
2025-04-06,0.65,N ugm-3,0.34,N ugm-3,0.25,N ugm-3
2025-04-07,0.85,N ugm-3,0.53,N ugm-3,0.51,N ugm-3
2025-04-08,1.17,N ugm-3,0.78,N ugm-3,No data,N ugm-3
2025-04-09,1.05,N ugm-3,0.76,N ugm-3,No data,N ugm-3
2025-04-10,1.91,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-11,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-12,2.54,N ugm-3,1.15,N ugm-3,1.03,N ugm-3
2025-04-13,1.19,N ugm-3,0.46,N ugm-3,0.26,N ugm-3
2025-04-14,1.36,N ugm-3,No data,N ugm-3,0.17,N ugm-3
2025-04-15,0.99,N ugm-3,No data,N ugm-3,0.58,N ugm-3
2025-04-16,0.78,N ugm-3,No data,N ugm-3,0.16,N ugm-3
2025-04-17,1.56,N ugm-3,No data,N ugm-3,0.35,N ugm-3
2025-04-18,1.04,N ugm-3,No data,N ugm-3,0.43,N ugm-3
2025-04-19,1.28,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-20,0.64,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-21,1.24,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-22,1.42,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-23,No data,N ugm-3,No data,N ugm-3,0.4,N ugm-3
2025-04-24,No data,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-25,1.26,N ugm-3,0.55,N ugm-3,0.55,N ugm-3
2025-04-26,1.49,N ugm-3,0.79,N ugm-3,No data,N ugm-3
2025-04-27,1.15,N ugm-3,0.35,N ugm-3,No data,N ugm-3
2025-04-28,2.54,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-29,1.87,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-04-30,2.77,N ugm-3,No data,N ugm-3,0.99,N ugm-3
2025-05-01,2.37,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-05-02,0.96,N ugm-3,No data,N ugm-3,No data,N ugm-3
2025-05-03,0.81,N ugm-3,0.37,N ugm-3,0.23,N ugm-3
2025-05-04,0.26,N ugm-3,0.17,N ugm-3,0.24,N ugm-3
2025-05-05,0.34,N ugm-3,0.2,N ugm-3,0.36,N ugm-3
2025-05-06,0.82,N ugm-3,0.44,N ugm-3,0.48,N ugm-3
2025-05-07,1.27,N ugm-3,0.72,N ugm-3,0.4,N ugm-3
2025-05-08,No data,N ugm-3,0.32,N ugm-3,0.29,N ugm-3
2025-05-09,No data,N ugm-3,0.5,N ugm-3,0.93,N ugm-3
2025-05-10,1.22,N ugm-3,0.8,N ugm-3,0.85,N ugm-3
2025-05-11,1.1,N ugm-3,0.58,N ugm-3,0.53,N ugm-3
