date,acute_bronchiolitis_syndromic,acute_respiratory_illness,influenza_like_syndromic,scarlet_fever_syndromic,black_carbon,blue_particulate_matter,green_particulate_matter,infra_red_particulate_matter,nitric_dioxide,nitric_oxide,nitrogen_oxides_as_nitrogen_dioxide,Ozone,PM10,PM2.5,red_particulate_matter,UV_particulate_matter_370nm,yellow_particulate_matter_590nm
19-04-2025,7.0,197.0,4.0,0.0,1.28,1.36,1.3,1.3,10.667,2.333,14.267,69.364,15.462,11.357,1.26,1.27,1.32
20-04-2025,11.0,194.0,10.0,1.0,0.64,0.76,0.69,0.55,7.667,2.267,11.333,77.091,10.077,6.357,0.65,0.73,0.68
21-04-2025,16.0,234.0,7.0,0.0,1.24,1.45,1.36,1.3,15.333,5.133,23.4,51.636,9.923,6.857,1.27,1.43,1.33
22-04-2025,9.0,199.0,5.0,0.0,1.42,1.56,1.48,1.46,13.067,6.267,22.6,63.273,9.154,4.571,1.43,1.47,1.47
23-04-2025,11.0,192.0,2.0,0.0,0.4,1.135,0.46,0.4,13.933,4.0,20.2,66.909,9.846,6.071,0.42,1.104,0.42
24-04-2025,17.0,176.0,2.0,0.0,0.953,1.184,1.019,0.953,14.667,4.467,21.867,65.818,16.077,11.143,0.964,1.152,1.002
25-04-2025,13.0,176.0,4.0,1.0,0.787,0.9,0.847,0.81,19.6,5.667,28.333,59.818,14.833,10.538,0.803,0.907,0.833
26-04-2025,9.0,180.0,7.0,0.0,1.14,1.315,1.235,1.215,17.4,4.467,24.4,64.545,23.333,18.077,1.175,1.31,1.22
27-04-2025,10.0,166.0,3.0,0.0,0.75,0.93,0.825,0.845,13.2,3.933,19.533,59.455,11.667,8.231,0.78,0.935,0.82
28-04-2025,7.0,155.0,1.0,0.0,2.54,2.88,2.71,2.59,22.4,8.467,35.333,56.182,11.5,5.0,2.56,2.84,2.66
29-04-2025,14.0,143.0,2.0,0.0,1.87,2.11,2.0,1.94,24.0,6.933,35.267,80.727,20.833,12.615,1.89,2.07,1.97
30-04-2025,8.0,130.0,2.0,0.0,1.88,2.145,2.025,1.955,32.25,8.875,45.625,80.727,21.75,13.0,1.905,2.165,1.975
01-05-2025,6.0,144.0,2.0,0.0,2.37,1.775,2.57,2.38,25.75,6.125,35.125,96.364,23.75,13.846,2.41,1.8,2.51
02-05-2025,8.0,149.0,3.0,0.0,0.96,1.12,1.05,1.01,13.067,3.533,18.6,70.0,16.25,8.923,0.98,1.11,1.03
03-05-2025,5.0,134.0,2.0,1.0,0.47,0.645,0.507,0.503,10.467,2.8,14.867,69.091,12.667,6.308,0.48,0.635,0.5
04-05-2025,8.0,175.0,2.0,0.0,0.223,0.295,0.247,0.233,6.467,2.467,10.267,72.545,7.917,3.385,0.23,0.305,0.237
05-05-2025,9.0,174.0,1.0,1.0,0.3,0.387,0.343,0.31,6.8,2.867,10.933,59.364,9.75,4.231,0.317,0.393,0.33
06-05-2025,9.0,180.0,0.0,0.0,0.58,0.657,0.623,0.613,14.533,4.667,21.667,62.091,11.667,6.231,0.597,0.667,0.617
07-05-2025,6.0,151.0,1.0,3.0,0.797,0.93,0.867,0.833,15.733,6.2,24.933,57.364,16.0,9.154,0.81,0.943,0.857
08-05-2025,4.0,143.0,2.0,1.0,0.305,0.36,0.34,0.33,11.812,3.562,17.562,75.182,9.833,5.0,0.315,0.36,0.325
09-05-2025,5.0,150.0,1.0,0.0,0.715,0.85,0.79,0.745,16.562,4.75,24.062,77.0,13.25,6.462,0.75,0.855,0.77
10-05-2025,3.0,139.0,3.0,0.0,0.957,1.113,1.06,1.003,17.375,3.562,22.688,84.727,13.462,6.214,0.983,1.137,1.023
11-05-2025,9.0,149.0,3.0,2.0,0.737,0.94,0.83,0.74,12.625,2.188,16.25,93.364,13.077,6.643,0.753,0.973,0.8
12-05-2025,5.0,184.0,4.0,1.0,1.137,1.303,1.237,1.19,20.438,4.312,26.875,78.364,16.231,8.857,1.157,1.293,1.207
13-05-2025,6.0,145.0,2.0,0.0,0.567,0.653,0.617,0.59,11.125,2.938,15.562,88.455,16.846,7.071,0.577,0.653,0.603
14-05-2025,3.0,139.0,1.0,1.0,0.577,0.647,0.62,0.61,11.25,3.125,16.375,82.182,18.462,10.429,0.58,0.643,0.61
15-05-2025,12.0,157.0,0.0,0.0,0.453,0.587,0.467,0.47,10.062,3.125,15.125,77.727,20.929,10.333,0.45,0.573,0.46
16-05-2025,5.0,148.0,3.0,1.0,0.735,0.87,0.803,0.764,10.25,3.312,15.188,87.0,19.357,9.467,0.75,0.875,0.782
17-05-2025,7.0,150.0,3.0,1.0,0.738,0.873,0.805,0.767,13.188,3.188,18.062,82.455,15.5,9.733,0.75,0.878,0.784
18-05-2025,5.0,164.0,0.0,1.0,0.694,0.826,0.754,0.72,7.133,1.333,9.067,79.0,18.5,11.533,0.703,0.827,0.736
19-05-2025,7.0,173.0,1.0,1.0,0.6,0.67,0.645,0.645,10.133,2.2,14.133,81.727,17.143,9.467,0.61,0.67,0.64
20-05-2025,8.0,162.0,1.0,0.0,0.61,0.68,0.65,0.64,12.733,2.867,16.933,76.727,14.857,8.4,0.62,0.65,0.64
21-05-2025,8.0,158.0,0.0,0.0,0.52,0.605,0.575,0.55,16.438,3.938,22.438,75.909,18.929,10.933,0.53,0.625,0.56
22-05-2025,5.0,168.0,0.0,0.0,0.5,0.57,0.53,0.53,16.062,4.688,23.375,55.273,17.714,8.6,0.51,0.56,0.52
23-05-2025,9.0,149.0,2.0,0.0,0.6,0.835,0.643,0.62,14.062,5.625,22.625,67.818,12.786,5.933,0.61,0.805,0.63
24-05-2025,8.0,138.0,0.0,0.0,0.57,0.83,0.61,0.577,6.875,4.125,13.375,45.909,8.714,5.067,0.587,0.79,0.603
25-05-2025,10.0,161.0,2.0,1.0,0.233,0.33,0.243,0.25,5.062,2.625,9.0,71.545,7.929,3.667,0.227,0.53,0.237
26-05-2025,12.0,156.0,6.0,0.0,0.287,0.32,0.307,0.31,5.688,3.0,10.312,70.636,7.643,3.733,0.297,0.41,0.307
27-05-2025,12.0,165.0,1.0,0.0,0.17,0.21,0.17,0.19,9.812,5.688,18.625,55.0,7.071,3.867,0.17,0.19,0.165
28-05-2025,5.0,117.0,1.0,0.0,0.26,0.37,0.27,0.27,10.875,4.875,18.5,64.0,6.929,3.467,0.265,0.38,0.27
29-05-2025,7.0,132.0,3.0,0.0,0.377,0.55,0.387,0.357,5.562,4.375,12.312,40.182,6.857,3.133,0.377,0.53,0.39
30-05-2025,7.0,152.0,0.0,1.0,0.56,0.75,0.59,0.543,9.062,5.875,17.75,43.091,5.643,2.467,0.557,1.18,0.58
31-05-2025,10.0,146.0,2.0,0.0,0.56,0.785,0.597,0.55,8.875,4.688,16.25,54.364,6.429,3.4,0.567,0.74,0.59
01-06-2025,8.0,173.0,3.0,1.0,0.32,0.363,0.343,0.317,6.0,2.688,9.375,69.545,9.571,4.867,0.32,0.363,0.333
02-06-2025,1.0,146.0,1.0,1.0,0.507,0.54,0.523,0.497,9.25,4.375,15.5,66.727,10.571,4.6,0.5,0.527,0.517
03-06-2025,6.0,142.0,0.0,0.0,0.35,0.39,0.377,0.353,8.188,3.812,14.062,68.364,8.643,4.067,0.35,0.377,0.367
04-06-2025,10.0,144.0,0.0,0.0,0.423,0.457,0.433,0.43,9.25,4.5,15.938,70.455,11.643,5.267,0.417,0.443,0.43
05-06-2025,9.0,149.0,3.0,1.0,0.6,0.91,0.63,0.617,11.812,5.688,20.562,58.182,4.643,2.267,0.603,0.86,0.62
06-06-2025,6.0,137.0,1.0,0.0,0.155,0.599,0.17,0.17,10.312,4.938,18.0,56.818,6.429,2.933,0.155,0.641,0.165
07-06-2025,5.0,144.0,1.0,0.0,0.23,0.3,0.245,0.235,10.062,4.25,16.562,56.636,5.214,2.533,0.23,0.275,0.235
08-06-2025,8.0,149.0,2.0,0.0,0.265,0.355,0.31,0.285,6.625,2.625,10.875,62.0,10.143,6.667,0.285,0.355,0.295
